refs, miss
1928372344, 443832
1934077472, 312217
1923567794, 16653
1943351657, 2962
1935305844, 1470
1947071117, 1129
1937577255, 1012
1919453591, 991
1914444658, 989
1946970093, 989
1927118741, 989
1934722997, 989
